Sample;Site.no;Cafeteria.ID;Caf;Substrate;Bagtype;Bag_root;Amanita;Amphinema;Cenococcum;Cortinarius;Hyaloscypha;Hygrophorus;Lactarius;Piloderma;Pseudotomentella;Russula;Tomentella_Thelephora;Tylospora
F39;8;39;4;F;Soilbag;Bag;0;0,070450116;0;0;0,004892114;0;0,182729988;0;0,44251479;0;0;0,004403132
F4;1;4;4;F;Soilbag;Bag;0,057251908;0,04389313;0;0,013358779;0;0;0;0,040076336;0;0;0,240458015;0,585877863
F40;8;40;5;F;Soilbag;Bag;0;0,182730924;0;0;0;0;0,761044177;0;0;0,002008032;0,002008032;0,046184739
F41;9;41;1;F;Soilbag;Bag;0;0,149365737;0;0;0,001965301;0;0,008147222;0,331320363;0,009505092;0,085545831;0,317741659;0
F42;9;42;2;F;Soilbag;Bag;0;0;0;0,02900611;0,390871696;0;0;0;0;0;0,290061097;0
F43;9;43;3;F;Soilbag;Bag;0,001296462;0,680642499;0;0,000142624;0,000285249;0;0,064823095;0,007778771;0;0,001296462;0,230770219;0,002592924
F44;9;44;4;F;Soilbag;Bag;0;0;0,129968618;0,007190342;0;0;0,076217625;0,028761368;0,17113014;0,037389778;0,056803702;0,486067119
F47;10;47;2;F;Soilbag;Bag;0;0,660870755;0,13989615;0;0;0;0,004859344;0,05102311;0;0;0,111764907;0
F48;10;48;3;F;Soilbag;Bag;0;0,871921182;0;0;0;0;0;0;0;0,04729064;0,066009852;0
F5;1;5;5;F;Soilbag;Bag;0,821023916;0,001546184;0;0,009277106;0;0;0,003092369;0,001546184;0;0,007730922;0,046385532;0
F50;10;50;5;F;Soilbag;Bag;0;0,619047619;0;0,001253133;0,001253133;0;0;0,023809524;0,028822055;0,020050125;0,273182957;0,031328321
F6;2;6;1;F;Soilbag;Bag;0;0,647601476;0;0;0;0;0;0;0,005535055;0,230627306;0,116236162;0
F7;2;7;2;F;Soilbag;Bag;0;0,687772926;0;0,002183406;0;0,002183406;0;0,028384279;0,002183406;0,098253275;0,165938865;0
F9;2;9;4;F;Soilbag;Bag;0;0,651785714;0;0;0;0;0;0,080357143;0;0,002232143;0,265625;0
M1;1;1;1;M;Soilbag;Bag;0;0;0;0,003937008;0,003937008;0;0;0,001968504;0;0,118110236;0,124015748;0,547244094
M10;2;10;5;M;Soilbag;Bag;0;0,051829102;0;0;0;0,000915223;0;0;0,017389235;0,002745669;0,878613959;0
M11;3;11;1;M;Soilbag;Bag;0,009881423;0;0;0;0,001976285;0;0;0;0,02173913;0,697628458;0,156126482;0
M12;3;12;2;M;Soilbag;Bag;0,001831975;0,281995008;0;0;0,001831975;0;0;0,120910332;0;0,045799368;0,294818831;0
M13;3;13;3;M;Soilbag;Bag;0;0,177268499;0,242551695;0;0,006551403;0;0;0;0,022929912;0,024567763;0,178525742;0,343948677
M14;3;14;4;M;Soilbag;Bag;0;0,260386087;0,00064496;0;0;0;0;0;0,001104587;0,280565193;0,049706432;0,392128518
M15;3;15;5;M;Soilbag;Bag;0;0;0;0;0;0;0;0;0;0,882022472;0,115569823;0,002407705
M16;4;16;1;M;Soilbag;Bag;0;0,39788332;0;0;0;0;0;0,152603058;0,035040037;0,100114392;0,104118968;0,161184172
M17;4;17;2;M;Soilbag;Bag;0;0,218870138;0,025922895;0;0;0;0;0,126850808;0;0,225447359;0,322067656;0,046009665
M18;4;18;3;M;Soilbag;Bag;0;0,050566722;0,436764513;0;0;0;0;0;0,01789284;0,002333849;0,028784134;0,106579091
M19;4;19;4;M;Soilbag;Bag;0;0;0,086189903;0;0;0;0;0;0;0;0;0
M2;1;2;2;M;Soilbag;Bag;0;0,097687679;0,127286033;0,000797352;0;0;0;0,615555859;0;0,003189409;0,155483669;0
M20;4;20;5;M;Soilbag;Bag;0;0,425465976;0,011633623;0,00197972;0;0;0,002639627;0;0,168936111;0,065990668;0,162337044;0,001319813
M21;5;21;1;M;Soilbag;Bag;0;0,497127318;0;0;0;0;0;0,018088945;0;0;0,03979568;0
M22;5;22;2;M;Soilbag;Bag;0,123852147;0,135021152;0,256965863;0,001303707;0;0;0,03259267;0;0;0,215111624;0,142104043;0
M23;5;23;3;M;Soilbag;Bag;0,22940079;0,642703195;0;0;0,005075239;0;0;0,046692196;0;0;0,073083437;0,001015048
M24;5;24;4;M;Soilbag;Bag;0,002264782;0,524395805;0;0;0;0;0,002264782;0;0;0,371424229;0,077002584;0,006794346
M25;5;25;5;M;Soilbag;Bag;0;0,180588082;0,043802765;0,692157536;0;0;0;0,002454459;0;0,041725809;0,003272612;0
M26;6;26;1;M;Soilbag;Bag;0;0;0;0;0;0;0;0;0;0,002123966;0,06442696;0,928173015
M27;6;27;2;M;Soilbag;Bag;0,119344841;0;0;0,001356191;0,002712383;0;0;0,139687712;0;0;0,001356191;0,244114448
M28;6;28;3;M;Soilbag;Bag;0;0;0;0;0;0;0;0,024546257;0;0,070570489;0,150345825;0,070570489
M29;6;29;4;M;Soilbag;Bag;0;0;0,02838418;0;0;0;0,002171209;0,049937796;0;0;0,084677133;0,823973639
M3;1;3;3;M;Soilbag;Bag;0,000476347;0,178120829;0,676593483;0,004287119;0,00142904;0;0;0,028104445;0;0,090029492;0,020006554;0,000476347
M30;6;30;5;M;Soilbag;Bag;0;0,029174815;0;0;0,000973746;0;0;0,015579943;0;0;0;0,919216624
M31;7;31;1;M;Soilbag;Bag;0;0,856783389;0;0;0;0;0,000478985;0;0;0;0,139384729;0,003352897
M32;7;32;2;M;Soilbag;Bag;0;0,355693936;0,001708795;0;0,001494412;0;0,017932947;0,134497103;0;0,001494412;0,4513125;0
